País;Kylie Jenner: (1/1/07 - 21/3/19)
Afganistán;
Albania;
Alemania;14
Andorra;
Angola;
Anguila;
Antártida;
Antigua y Barbuda;
Arabia Saudí;20
Argelia;16
Argentina;13
Armenia;
Aruba;
Australia;57
Austria;18
Azerbaiyán;
Bahamas;
Bangladés;
Barbados;
Baréin;
Bélgica;22
Belice;
Benín;
Bermudas;
Bielorrusia;
Bolivia;
Bosnia y Herzegovina;
Botsuana;
Brasil;10
Brunéi;
Bulgaria;13
Burkina Faso;
Burundi;
Bután;
Cabo Verde;
Camboya;
Camerún;
Canadá;50
Caribe neerlandés;
Catar;
Chad;
Chequia;10
Chile;22
China;
Chipre;
Ciudad del Vaticano;
Colombia;29
Comoras;
Congo;
Corea del Norte;
Corea del Sur;
Costa Rica;42
Côte d’Ivoire;
Croacia;32
Cuba;
Curazao;
Dinamarca;33
Dominica;
Ecuador;24
Egipto;6
El Salvador;
Emiratos Árabes Unidos;36
Eritrea;
Eslovaquia;
Eslovenia;28
España;14
Estados Unidos;61
Estonia;
Esuatini;
Etiopía;
Filipinas;42
Finlandia;20
Fiyi;
Francia;24
Gabón;
Gambia;
Georgia;
Ghana;
Gibraltar;
Granada;
Grecia;22
Groenlandia;
Guadalupe;
Guam;
Guatemala;28
Guayana Francesa;
Guernesey;
Guinea;
Guinea Ecuatorial;
Guinea-Bisáu;
Guyana;
Haití;
Honduras;
Hong Kong;
Hungría;13
India;9
Indonesia;14
Irak;
Irán;9
Irlanda;56
Isla Bouvet;
Isla de Man;
Isla de Navidad;
Isla Norfolk;
Islandia;
Islas Aland;
Islas Caimán;
Islas Cocos;
Islas Cook;
Islas Feroe;
Islas Georgia del Sur y Sandwich del Sur;
Islas Heard y McDonald;
Islas Malvinas (Islas Falkland);
Islas Marianas del Norte;
Islas Marshall;
Islas menores alejadas de EE. UU.;
Islas Pitcairn;
Islas Salomón;
Islas Turcas y Caicos;
Islas Vírgenes Británicas;
Islas Vírgenes de EE. UU.;
Israel;18
Italia;9
Jamaica;
Japón;1
Jersey;
Jordania;
Kazajistán;18
Kenia;34
Kirguistán;
Kiribati;
Kosovo;
Kuwait;
Laos;
Lesoto;
Letonia;
Líbano;50
Liberia;
Libia;
Liechtenstein;
Lituania;
Luxemburgo;
Macao;
Macedonia del Norte;
Madagascar;
Malasia;18
Malaui;
Maldivas;
Mali;
Malta;
Marruecos;16
Martinica;
Mauricio;
Mauritania;
Mayotte;
México;29
Micronesia;
Moldavia;
Mónaco;
Mongolia;
Montenegro;
Montserrat;
Mozambique;
Myanmar (Birmania);
Namibia;
Nauru;
Nepal;
Nicaragua;
Níger;
Nigeria;33
Niue;
Noruega;44
Nueva Caledonia;
Nueva Zelanda;58
Omán;
Países Bajos;24
Pakistán;13
Palaos;
Palestina;
Panamá;46
Papúa Nueva Guinea;
Paraguay;
Perú;16
Polinesia Francesa;
Polonia;18
Portugal;22
Puerto Rico;48
Reino Unido;52
República Centroafricana;
República Democrática del Congo;
República Dominicana;32
Reunión;
Ruanda;
Rumanía;14
Rusia;10
Sáhara Occidental;
Samoa;
Samoa Americana;
San Bartolomé;
San Cristóbal y Nieves;
San Marino;
San Martín;
San Pedro y Miquelón;
San Vicente y las Granadinas;
Santa Elena;
Santa Lucía;
Santo Tomé y Príncipe;
Senegal;
Serbia;21
Seychelles;
Sierra Leona;
Singapur;28
Sint Maarten;
Siria;
Somalia;
Sri Lanka;
Sudáfrica;65
Sudán;
Sudán del Sur;
Suecia;30
Suiza;24
Surinam;
Svalbard y Jan Mayen;
Tailandia;5
Taiwán;
Tanzania;
Tayikistán;
Territorio Británico del Océano Índico;
Territorios Australes Franceses;
Timor-Leste;
Togo;
Tokelau;
Tonga;
Trinidad y Tobago;100
Túnez;
Turkmenistán;
Turquía;9
Tuvalu;
Ucrania;9
Uganda;
Uruguay;
Uzbekistán;
Vanuatu;
Venezuela;25
Vietnam;2
Wallis y Futuna;
Yemen;
Yibuti;
Zambia;
Zimbabue;
